% Model,PSC_Degradation_CsFa_Ions_Degradation_v2.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 6 2026, 11:16"
% Dimension,1
% Nodes,2186
% Expressions,4
% Description,"Conduction band energy level, Valence band energy level, Electron quasi-Fermi energy level, Hole quasi-Fermi energy level"
% x,semi.Ec_e (J),semi.Ev_e (J),semi.Efn_e (J),semi.Efp_e (J)
25.155270535781785,5.271516159642294E-19,-1.5666732557706214E-21,-4.5173728976459765E-31,4.222980343168613E-31
25.155270535781785,5.269070908576542E-19,-1.811198362345741E-21,-5.044601330022047E-31,4.842980145759557E-31
25.54757730609243,5.269070908576542E-19,-1.811198362345741E-21,-5.044601330022047E-31,4.842980145759557E-31
25.54757730609243,5.266575767889274E-19,-2.06071243107253E-21,-5.581790893374183E-31,5.445792550483316E-31
25.920754944277483,5.266575767889274E-19,-2.06071243107253E-21,-5.581790893374183E-31,5.445792550483316E-31
25.920754944277483,5.26404049167118E-19,-2.3142400528819683E-21,-6.120403475437186E-31,6.081737388902858E-31
26.275728932211454,5.26404049167118E-19,-2.3142400528819683E-21,-6.120403475437186E-31,6.081737388902858E-31
26.275728932211454,5.261474765065528E-19,-2.570812713447133E-21,-6.656170020078455E-31,6.8851759765248674E-31
26.613393598405334,5.261474765065528E-19,-2.570812713447133E-21,-6.656170020078455E-31,6.8851759765248674E-31
26.613393598405334,5.25888797895723E-19,-2.829491324276876E-21,-7.182686943099092E-31,7.606085037583455E-31
26.934593516849265,5.25888797895723E-19,-2.829491324276876E-21,-7.182686943099092E-31,7.606085037583455E-31
26.934593516849265,5.256289163938988E-19,-3.0893728261011026E-21,-7.693550660300196E-31,8.372502904055576E-31
27.240131519303894,5.256289163938988E-19,-3.0893728261011026E-21,-7.693550660300196E-31,8.372502904055576E-31
27.240131519303894,5.253686980342352E-19,-3.3495911857646767E-21,-8.188049662326335E-31,8.912494035494732E-31
27.530769683393117,5.253686980342352E-19,-3.3495911857646767E-21,-8.188049662326335E-31,8.912494035494732E-31
27.530769683393117,5.251089625518864E-19,-3.609326668113594E-21,-8.663337911755774E-31,1.0126345671864447E-30
27.807229886394556,5.251089625518864E-19,-3.609326668113594E-21,-8.663337911755774E-31,1.0126345671864447E-30
27.807229886394556,5.248504679452083E-19,-3.867821274791585E-21,-9.11158880567875E-31,8.61331546886871E-31
28.0702097108991,5.248504679452083E-19,-3.867821274791585E-21,-9.11158880567875E-31,8.61331546886871E-31
28.0702097108991,5.24593914553937E-19,-4.124374666062871E-21,-9.555570643469125E-31,1.1374233025291335E-30
28.320366468890345,5.24593914553937E-19,-4.124374666062871E-21,-9.555570643469125E-31,1.1374233025291335E-30
28.320366468890345,5.243399473004456E-19,-4.378341919554281E-21,-9.970380597686734E-31,1.23267439402103E-30
28.558325421393974,5.243399473004456E-19,-4.378341919554281E-21,-9.970380597686734E-31,1.23267439402103E-30
28.558325421393974,5.240891471126226E-19,-4.629142107377299E-21,-1.0358153196397878E-30,1.028001501663752E-30
28.784681341303237,5.240891471126226E-19,-4.629142107377299E-21,-1.0358153196397878E-30,1.028001501663752E-30
28.784681341303237,5.238420359966954E-19,-4.876253223304571E-21,-1.0733118626711224E-30,1.4347130341631527E-30
28.999999999999996,5.238420359966954E-19,-4.876253223304571E-21,-1.0733118626711224E-30,1.4347130341631527E-30
28.999999999999996,2.511248596149018E-19,1.1853047109017951E-21,-1.1228329138092796E-30,3.464308339970416E-30
29.211745081924665,2.511248596149018E-19,1.1853047109017951E-21,-1.1228329138092796E-30,3.464308339970416E-30
29.211745081924665,2.5068766380851694E-19,7.481089045169376E-22,-1.1731010497706417E-30,2.827947574304622E-30
29.434150423935616,2.5068766380851694E-19,7.481089045169376E-22,-1.1731010497706417E-30,2.827947574304622E-30
29.434150423935616,2.502480804282885E-19,3.0852552428852474E-22,-1.2120561869806145E-30,2.8672740652011295E-30
29.667760417386287,2.502480804282885E-19,3.0852552428852474E-22,-1.2120561869806145E-30,2.8672740652011295E-30
29.667760417386287,2.498062794482373E-19,-1.3327545576271822E-22,-1.2380262784539296E-30,1.9110035112237223E-30
29.913144392022,2.498062794482373E-19,-1.3327545576271822E-22,-1.2380262784539296E-30,1.9110035112237223E-30
