% Model,Untitled.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 6 2026, 12:22"
% Table,Table 12 - Global Evaluation 2
% light_on,use_scan,Time (s),Average terminal current density (mA/cm^2)
0,0,0.013499999999999998,2.1135354014361593E-4
0,0,0.0136,1.972692676728513E-4
0,0,0.013699999999999999,1.8427479869394378E-4
0,0,0.013799999999999998,1.7249492597282013E-4
0,0,0.0139,1.616682785119544E-4
0,0,0.013999999999999999,1.5163264887614397E-4
0,0,0.014099999999999998,1.425523260265536E-4
0,0,0.014199999999999999,1.3416803724197003E-4
0,0,0.014299999999999998,1.2636262216477405E-4
0,0,0.0144,1.1927195532154857E-4
0,0,0.014499999999999999,1.127005431463965E-4
0,0,0.014599999999999998,1.0649378316773288E-4
0,0,0.0147,1.0087352418188374E-4
0,0,0.014799999999999999,9.562762289120113E-5
0,0,0.014899999999999998,9.062367056592695E-5
0,0,0.015,8.59205965158153E-5
0,0,0.015099999999999999,8.173607656578502E-5
0,0,0.015199999999999998,7.77810260554124E-5
0,0,0.0153,7.390431663612185E-5
0,0,0.015399999999999999,7.046921172238796E-5
0,0,0.015499999999999998,6.715750659805866E-5
0,0,0.0156,6.403506261874712E-5
0,0,0.0157,6.107553483358261E-5
0,0,0.015799999999999998,5.8357956214254855E-5
0,0,0.015899999999999997,5.5776253799228056E-5
0,0,0.016,5.328675593572483E-5
0,0,0.0161,5.101494311099805E-5
0,0,0.0162,4.880552294274951E-5
0,0,0.0163,4.6795066553507587E-5
0,0,0.016399999999999998,4.476034908649447E-5
0,0,0.016499999999999997,4.2865668126267396E-5
0,0,0.0166,4.106042127361987E-5
0,0,0.0167,3.945898728327781E-5
0,0,0.0168,3.7829134192237556E-5
0,0,0.0169,3.6251967672952065E-5
0,0,0.016999999999999998,3.484395558745958E-5
0,0,0.017099999999999997,3.3480313244060144E-5
0,0,0.0172,3.218946020656966E-5
0,0,0.0173,3.089237228850187E-5
0,0,0.0174,2.979355380327613E-5
0,0,0.017499999999999998,2.858381393502606E-5
0,0,0.017599999999999998,2.750648924861605E-5
0,0,0.017699999999999997,2.6416682537169523E-5
0,0,0.0178,2.545444028785748E-5
0,0,0.0179,2.4504670481805436E-5
0,0,0.018,2.3603433395943724E-5
0,0,0.018099999999999998,2.2661986839753257E-5
0,0,0.018199999999999997,2.186820155691048E-5
0,0,0.018299999999999997,2.1023812548713798E-5
0,0,0.0184,2.034025661819168E-5
0,0,0.0185,1.9635209338124493E-5
0,0,0.0186,1.887123756369304E-5
0,0,0.018699999999999998,1.815094177104199E-5
0,0,0.018799999999999997,1.7585240550314794E-5
0,0,0.018899999999999997,1.6894057005583157E-5
0,0,0.019,1.63339072039657E-5
0,0,0.0191,1.5768896252370116E-5
0,0,0.0192,1.507563851201344E-5
0,0,0.019299999999999998,1.452103120290374E-5
0,0,0.019399999999999997,1.3999699754540054E-5
0,0,0.0195,1.366069313054439E-5
0,0,0.0196,1.3128269799860533E-5
0,0,0.0197,1.2562570180936722E-5
0,0,0.019799999999999998,1.2265855102826216E-5
0,0,0.019899999999999998,1.1745908307505885E-5
0,0,0.019999999999999997,1.1439488003209359E-5
0,0,0.0201,1.1000654312771563E-5
0,0,0.0202,1.0608268387436001E-5
0,0,0.0203,1.0181221687487333E-5
0,0,0.020399999999999998,9.912235348874906E-6
0,0,0.020499999999999997,9.458842809459116E-6
0,0,0.020599999999999997,9.150344427491746E-6
0,0,0.0207,8.92087157793915E-6
0,0,0.0208,8.570778081184338E-6
0,0,0.0209,8.303176617818647E-6
0,0,0.020999999999999998,7.925353469921458E-6
0,0,0.021099999999999997,7.779073062482882E-6
0,0,0.021199999999999997,7.409566258313065E-6
0,0,0.0213,7.164153112553134E-6
0,0,0.0214,6.985982675541013E-6
0,0,0.0215,6.6982816224123775E-6
0,0,0.021599999999999998,6.517340686823204E-6
0,0,0.021699999999999997,6.2636064185597E-6
0,0,0.021799999999999996,6.0272063576220895E-6
0,0,0.0219,5.8989506265653666E-6
0,0,0.022,5.703451612540463E-6
0,0,0.022099999999999998,5.534989095399467E-6
0,0,0.022199999999999998,5.22440959866228E-6
0,0,0.022299999999999997,5.130820185413408E-6
0,0,0.022399999999999996,4.954729569448611E-6
0,0,0.0225,4.796668317406726E-6
0,0,0.0226,4.621272144014034E-6
0,0,0.022699999999999998,4.3987372318961464E-6
0,0,0.022799999999999997,4.231663255431239E-6
0,0,0.022899999999999997,4.22195373270036E-6
0,0,0.023,4.077063265112693E-6
0,0,0.0231,3.903054161149543E-6
0,0,0.0232,3.8046131008382416E-6
0,0,0.023299999999999998,3.6264430251491043E-6
0,0,0.023399999999999997,3.474622486481839E-6
0,0,0.023499999999999997,3.4593683570216008E-6
0,0,0.0236,3.2915982584734946E-6
0,0,0.0237,3.0829305031226846E-6
0,0,0.023799999999999998,3.078074697231695E-6
0,0,0.023899999999999998,2.9893374032127037E-6
0,0,0.023999999999999997,2.8007729360082954E-6
0,0,0.024099999999999996,2.7536292867785435E-6
0,0,0.0242,2.700942168758985E-6
0,0,0.0243,2.62329591248916E-6
0,0,0.024399999999999998,2.5026694620560187E-6
0,0,0.024499999999999997,2.4576082378107237E-6
0,0,0.024599999999999997,2.3397514735261134E-6
0,0,0.024699999999999996,2.2641900523452872E-6
0,0,0.0248,2.2156579020874305E-6
0,0,0.0249,2.1823842681198807E-6
0,0,0.024999999999999998,2.0159993835464356E-6
0,0,0.025099999999999997,1.9695539071584197E-6
0,0,0.025199999999999997,1.8960669073447476E-6
0,0,0.025299999999999996,1.9189439651213376E-6
0,0,0.0254,1.7560274084680453E-6
0,0,0.0255,1.7976231582417952E-6
0,0,0.025599999999999998,1.6319351828479394E-6
0,0,0.025699999999999997,1.6471860479242163E-6
0,0,0.025799999999999997,1.5681535937068805E-6
0,0,0.0259,1.5161605467875507E-6
0,0,0.026,1.482882451687386E-6
0,0,0.026099999999999998,1.3248221833347408E-6
0,0,0.026199999999999998,1.299170313454703E-6
0,0,0.026299999999999997,1.2638133451402251E-6
0,0,0.026399999999999996,1.2097404089103161E-6
0,0,0.0265,1.263119107594922E-6
0,0,0.0266,1.14803987304436E-6
0,0,0.026699999999999998,1.125161954281936E-6
0,0,0.026799999999999997,1.053062758274988E-6
0,0,0.026899999999999997,1.0565293129136891E-6
0,0,0.026999999999999996,9.955217388082038E-7
0,0,0.0271,9.976027086902608E-7
0,0,0.0272,9.234231297406028E-7
0,0,0.027299999999999998,8.991597283515355E-7
0,0,0.027399999999999997,9.171840229922041E-7
0,0,0.027499999999999997,8.409245785536918E-7
0,0,0.027599999999999996,9.30355480366033E-7
0,0,0.0277,7.799170117944984E-7
0,0,0.0278,7.840780160303242E-7
0,0,0.027899999999999998,8.041811919871205E-7
0,0,0.027999999999999997,7.029661584645892E-7
0,0,0.028099999999999997,7.417890891306898E-7
0,0,0.028199999999999996,6.481987288691153E-7
0,0,0.0283,6.856344631345731E-7
0,0,0.028399999999999998,5.837260627809067E-7
0,0,0.028499999999999998,6.031365868792909E-7
0,0,0.028599999999999997,6.072966867104443E-7
0,0,0.028699999999999996,5.927367641480024E-7
0,0,0.0288,5.559956782170644E-7
0,0,0.0289,6.253206072902452E-7
0,0,0.028999999999999998,5.324217908393501E-7
0,0,0.029099999999999997,5.379709395332278E-7
0,0,0.029199999999999997,5.074652113656874E-7
0,0,0.029299999999999996,4.367556134408387E-7
0,0,0.0294,4.554725411334656E-7
0,0,0.0295,4.2982099209305585E-7
0,0,0.029599999999999998,3.542571756023482E-7
0,0,0.029699999999999997,4.936010616041163E-7
0,0,0.029799999999999997,4.4645826880404386E-7
0,0,0.029899999999999996,3.41084325123586E-7
0,0,0.03,3.0919422752641304E-7
0,0,0.0301,3.494044702498308E-7
0,0,0.030199999999999998,3.2583146301921834E-7
0,0,0.030299999999999997,3.681212983580485E-7
